address,symbol,market_cap,volume_24h_usd,liquidity,holder,trade_24h_count,recent_listing_time,listed_at,appear_count
qRUZaCpgxaRH1s5V6opjPA6Hnpv5BM37LqkDBw7pump,MvG,766966.7217421265,2062958.2158162326,154251.893092614,5919,15170,1745470240,2025-04-24 04:50:40+00:00,5
hqYtLoxviwGENvogcJ5324YTbYqW5H9LHtmQu5Jbonk,BONKAI,2197934.2148647946,880842.7631094344,181190.30505819435,824,4184,1746013370,2025-04-30 11:42:50+00:00,5
GcmsHHG41giJYACYKrdxZp3kdKMZfg1UB7LaYzCzPxLJ,SUPFRIEND,1185950.461227007,1270606.9613341838,209264.62419341266,2335,5745,1745883923,2025-04-28 23:45:23+00:00,5
fRfKGCriduzDwSudCwpL7ySCEiboNuryhZDVJtr1a1C,DUPE,3903409.9589073523,2118052.4867051938,370029.57563464175,2652,7531,1745887721,2025-04-29 00:48:41+00:00,5
CniPCE4b3s8gSUPhUiyMjXnytrEqUrMfSsnbBjLCpump,pwease,5019669.919411371,1602243.1870597922,1006087.073369345,22105,13036,1740949248,2025-03-02 21:00:48+00:00,5
CjqxraDuTMEcfhdqY8qEaMY43icdBrkt3EXciNVpump,Lemon,904379.0083367997,1394230.3535143898,188569.147855565,4932,9667,1745863091,2025-04-28 17:58:11+00:00,5
CDBdbNqmrLu1PcgjrFG52yxg71QnFhBZcUE6PSFdbonk,LetsBONK,2173047.9136485728,2569153.5883785486,440097.3112895155,8554,30225,1745605268,2025-04-25 18:21:08+00:00,5
AiASC32J6AS5iyhDXC74c5GZAoVjyt6b36gV9AYtcH84,PIXOPIA,1258467.8117200057,34439663.8576267,213247.48675307084,6568,28485,1745975008,2025-04-30 01:03:28+00:00,5
A4LGQjgLomHTvmEswxgn8N4zVBTpUqTTdCMHpzqNSfyz,SOLDA,441473.0150307789,19610437.72271206,245908.4497579498,5650,13156,1745846544,2025-04-28 13:22:24+00:00,5
9jUb38tuMqsCe328tM7kxFEm3wRpbo3MbXPJoFiTpump,land,363681.44159841456,1140437.4643387788,100939.87730094159,4060,11684,1745919210,2025-04-29 09:33:30+00:00,5
8oosbx7jJrZxm5m4ThKhBpvwwG4QpoAe6i4GiG19pump,Wizard,3188622.1138448413,2780947.621918195,564327.4040839495,7079,17398,1744213911,2025-04-09 15:51:51+00:00,5
8hhRHZkoCwLojdSthxu3Ho5K2j4BZHnSZ93HZjd4Mxo6,LFG,910433.8809920598,31161750.281594098,436297.20521046873,5231,27892,1745999383,2025-04-30 07:49:43+00:00,5
6EXW1uMsNWX9e69Apw6DfFgnX3cc1AWjsQo75zDepump,LockedIn,1215771.5569163968,2663467.7126372335,193281.94069256182,3616,23647,1746027727,2025-04-30 15:42:07+00:00,5
oR1P5q88dBSbdXiWqiTdaYduiNjD1LamsxBjqZQpump,ALBINO,3234150.0490503157,1066595.4864104353,191722.41340372313,2055,8659,1746046814,2025-04-30 21:00:14+00:00,4
GkyPYa7NnCFbduLknCfBfP7p8564X1VZhwZYJ6CZpump,CHILLHOUSE,228064.0154545036,1184579.5479679445,70806.15142069384,1953,8841,1745617855,2025-04-25 21:50:55+00:00,4
Cz75ZtjwgZmr5J1VDBRTm5ZybZvEFR5DEdb8hEy59pWq,FUCKCOIN,2651139.6165908016,13676920.955229223,295256.8326177725,3622,59508,1746044986,2025-04-30 20:29:46+00:00,4
4TBi66vi32S7J8X1A6eWfaLHYmUXu7CStcEmsJQdpump,Ghibli,4304960.691996993,1540756.3561616847,678565.1540755241,15397,15364,1742982326,2025-03-26 09:45:26+00:00,4
4rwPNRSFgcS7EGphFdX7VwXuhjZGxph7gYyb7Zp2pump,AuraFarm,2962337.95467602,838778.7454961413,319130.31908611883,2899,3897,1742659157,2025-03-22 15:59:17+00:00,4
3shfVzKVVBMdbXwzxyqLCJF5GCme32pkfJroiBpBpump,horni,434750.57691601105,2545190.113054445,90860.28109160996,2254,14391,1746050058,2025-04-30 21:54:18+00:00,4
GnsvKX2vLTup2JsRWME9x2q1Hne8otpvAGFWRYjnpump,THEONE,4666.924247270797,1912384.9831953973,8516.524040461652,273,13191,1746103218,2025-05-01 12:40:18+00:00,3
FkT2JJHDLL5eyBeeX7RjFevXSP5UDwRkiMCusg3ypump,URMOM,3748848.195031424,12884123.973999448,336638.7951093227,2258,44869,1746064604,2025-05-01 01:56:44+00:00,3
Ds1K683crskEEqyvpnwpYU1nF3qxjn1QmanRn52Zpump,THOT,130658.76664433279,1134813.4851795745,44655.43129102064,1156,7344,1746047420,2025-04-30 21:10:20+00:00,3
SWjRWeYMjv9akDkTRjexgGLhHTa2qeBNMEN3UW9pump,GENZ,1351249.9923579942,8835156.529246114,202825.75458288836,3153,49917,1746119939,2025-05-01 17:18:59+00:00,2
RzHkTJNJw9cLXbVSRHf9MhfBbJ8eKLaNPHwCzzoboop,cultcore,82513.52682998752,1154276.3429979407,35716.04974306844,1045,9182,1746176803,2025-05-02 09:06:43+00:00,2
R3LZR4x5RmCd4gFwQ6hqRGG1S5r9Bmd3xmk833bboop,dooq,102380.78318920125,1002502.5663152313,46573.52008220058,1106,8057,1746171165,2025-05-02 07:32:45+00:00,2
iRyhGbJjsH3gJVB9zyX6Jya75AZX1jHNX44uxrVpump,blob ,3342.7883584501033,861057.7617599033,6160.855948752052,44,5613,1746192166,2025-05-02 13:22:46+00:00,2
HCW4Bv6b5LrNGMC6dd69CiG12D9YLX7fQz3gVUaCpump,WhiteCoat,30180.898789365507,5581022.050107406,22525.126736605005,599,42935,,,2
GyqMJy5VSFeb9bU63KmE85tCbDk3fKDf5Y4dXV8bpump,GAMESTORE,7600.2438567257295,1134162.656061226,9446.002927970047,222,7199,1746138606,2025-05-01 22:30:06+00:00,2
GkCfs9n8jLvuviiToewryCFa2rHQGKQv9FdnhTUEJtCH,Stadium,1910823.8462517746,1655578.1667515966,156138.56995519187,2957,12721,1746170668,2025-05-02 07:24:28+00:00,2
F4SJeUwojXkzUUDt9BpjwFLbvRdGHPVt5S1xeXthS3oy,BAB,5764.737469850367,3356857.4680100526,8338.496928952944,199,38242,1745946078,2025-04-29 17:01:18+00:00,2
F241tyRL8a46MxCrpTYk32hN3pNm6UAdHB8fHddZpump,SNARK,48322.37848562238,853873.9685807789,24655.64534317453,350,14192,,,2
E7Z5uJdXZ6xWMdWC4K7AxUof5MjFb8yhSVfGPSJk35SW,CJ,24864.770626659647,1247741.08736549,18471.714625174503,594,14557,1746186671,2025-05-02 11:51:11+00:00,2
E7Utvdm98CxJXRPfun7UdCBYWsxLPi7mFM93sthypump,MAO,10839.435555115604,2267189.1679755324,17073.826399358968,1310,16600,1746145178,2025-05-02 00:19:38+00:00,2
DUm14rjj3bXMQJvuGtWvmTJFZrZWFSJxw4y5ezbpump,WACKY,2118.0617566333995,822881.1416382131,3754.608864659042,114,43232,1746191278,2025-05-02 13:07:58+00:00,2
DCrwhb7f6LL4dtvsTty1PwT2wL5AoxHzuwYMUqM5pump,Kobushi ,76633.76199845488,4016593.695692385,38205.86039924576,1122,46463,1746191678,2025-05-02 13:14:38+00:00,2
cUZWEQYmFoFhBd8CqQhQKqtZSFDZbhee1GVJJvUpump,GROKHOUSE,3213.7566677227214,1157626.2608357857,6119.032123759647,55,15477,1746141395,2025-05-01 23:16:35+00:00,2
CRVBXzWCMPAjMMjb73H5EZLBzu69ckATs7fFKV37BtKp,SOLA AOI,563723.6812877726,2837874.8465031674,156504.7628080824,8832,27087,1746155643,2025-05-02 03:14:03+00:00,2
CkW11Yn5XjzwvhtLgk6kwAGndgmXSFTSj9dWkL4Apump,SolAndreas,5982.699216702245,1695973.4630439426,8632.379788863596,538,30127,1746188415,2025-05-02 12:20:15+00:00,2
CKDCwYLY5Nh2WQbNCn3uNJFAx5UCQD4cTbteA47tpump,MIMI,4145.649031221401,1897723.5891553974,7306.068922338041,157,38838,,,2
CFF79KBaX8GDi1rkX5GqzAnxXFKsJbjgcpHFQUNjpump,First,3451.2906258616995,1805731.0692765154,6385.9051022718,102,10751,1745987251,2025-04-30 04:27:31+00:00,2
BcXQxnWSNN1XrUuDnDtM2uCo4H83o9HinCcqraa1pump,BABYCORN,4252.813804041538,1010880.4716928208,7111.837861462311,184,14025,1746192598,2025-05-02 13:29:58+00:00,2
B5dhzXyUEgmjTwgkx8aCDYmretv5Hvxsd4ApjuBZpump,Kobushi,4436.910636695666,4214929.321821162,7714.937274810416,443,60259,1746192106,2025-05-02 13:21:46+00:00,2
Ai3eKAWjzKMV8wRwd41nVP83yqfbAVJykhvJVPxspump,moonpig,3222487.9847111567,1713044.8852675874,224720.5177603769,695,7104,1746107207,2025-05-01 13:46:47+00:00,2
AGGiatrSZ3tjq4gLaXDBHrZDzQ2TmMNc45fapncMpump,gorka,188495.54270640443,983016.2298799619,41854.43035042312,600,8897,1746176725,2025-05-02 09:05:25+00:00,2
AFMyfmGLmZ7VGfqbQ3aUaHtNQnH3mE4T1foJyimppump,BeforeGTA6,613190.7095864519,15856765.722239926,128256.83955653074,5695,105427,1746185534,2025-05-02 11:32:14+00:00,2
Abp4pr6YHDTtmT2HUH9PZQPt3DGByXhGgi5kQHCppump,Me in 2009,64344.89536666822,1613067.096611903,33905.50364764602,1407,17682,1746150531,2025-05-02 01:48:51+00:00,2
9RBZH3VvhEMPYei4aGH9t2dLgDBoS8EdBKr98Dvfpump,Shiloh,348127.86681886064,1063517.7623214829,63545.210772021,1067,6650,1746122222,2025-05-01 17:57:02+00:00,2
8WzDFPNjUSV7ZPpNiqKY8NcWH9J4tDSgSeifp6Kboop,Toshi,483743.8245400434,1421469.0252149822,127056.44239872105,1279,8832,1746125851,2025-05-01 18:57:31+00:00,2
8h3jsXbvBRPKGGRPhoYRHr7ca8qH3tBeaE2S93X1pump,DRA,2160971.8215496023,11156424.39944851,237666.8062024517,2495,52615,1746127162,2025-05-01 19:19:22+00:00,2
81YHAzq9yfptVbNTHiYuMVKVQ6ZNs3XeQFFENnNUpump,DMCP,4348744.011512837,2656411.174522397,260906.0321568066,5563,13904,1745510454,2025-04-24 16:00:54+00:00,2
6tsPM5Pop5QsbiJsSXQjkqEKZggVVyd6ft64nAfMpump,HACHIKO,3972.240111102185,2907249.611943347,7263.903534496152,327,24286,1741014602,2025-03-03 15:10:02+00:00,2
6N7CrWe6qNt27G4sHXcjQMMy6btKRb7i9n4RYkKboop,BETTY,563912.1477360745,2144917.8431389416,125253.95170626274,3001,19255,1746108820,2025-05-01 14:13:40+00:00,2
